framework              , test                                                         , time    
SolidJS                , updateComputations1to2                                       , 102.41  
SolidJS                , updateComputations1to4                                       , 94.82   
SolidJS                , updateComputations1to1000                                    , 89.02   
SolidJS                , 10x5 - 2 sources - read 20% (simple component)               , 1799.44 
SolidJS                , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 760.16  
SolidJS                , 1000x12 - 4 sources - dynamic (large web app)                , 1079.23 
SolidJS                , 1000x5 - 25 sources (wide dense)                             , 1538.94 
SolidJS                , 5x500 - 3 sources (deep)                                     , 594.29  
uSignal                , avoidablePropagation                                         , 1007.50 
uSignal                , broadPropagation                                             , 1020.69 
uSignal                , deepPropagation                                              , 363.37  
uSignal                , diamond                                                      , 697.45  
uSignal                , mux                                                          , 889.59  
uSignal                , repeatedObservers                                            , 115.59  
uSignal                , triangle                                                     , 213.94  
uSignal                , unstable                                                     , 123.17  
uSignal                , molBench                                                     , 898.68  
uSignal                , createDataSignals                                            , 71.34   
uSignal                , createComputations0to1                                       , 51.52   
uSignal                , createComputations1to1                                       , 73.90   
uSignal                , createComputations2to1                                       , 70.58   
uSignal                , createComputations4to1                                       , 128.67  
uSignal                , createComputations1000to1                                    , 45.09   
uSignal                , createComputations1to2                                       , 75.50   
uSignal                , createComputations1to4                                       , 66.52   
uSignal                , createComputations1to8                                       , 58.55   
uSignal                , createComputations1to1000                                    , 57.89   
uSignal                , updateComputations1to1                                       , 49.20   
uSignal                , updateComputations2to1                                       , 44.99   
uSignal                , updateComputations4to1                                       , 42.71   
uSignal                , updateComputations1000to1                                    , 42.57   
uSignal                , updateComputations1to2                                       , 45.52   
uSignal                , updateComputations1to4                                       , 41.85   
uSignal                , updateComputations1to1000                                    , 40.65   
uSignal                , 10x5 - 2 sources - read 20% (simple component)               , 493.51  
uSignal                , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 523.24  
uSignal                , 1000x12 - 4 sources - dynamic (large web app)                , 614.40  
