framework              , test                                                         , time    
SolidJS                , unstable                                                     , 253.85  
SolidJS                , molBench                                                     , 707.50  
SolidJS                , createDataSignals                                            , 75.64   
SolidJS                , createComputations0to1                                       , 61.49   
SolidJS                , createComputations1to1                                       , 111.57  
SolidJS                , createComputations2to1                                       , 120.52  
SolidJS                , createComputations4to1                                       , 61.34   
SolidJS                , createComputations1000to1                                    , 53.58   
SolidJS                , createComputations1to2                                       , 84.26   
SolidJS                , createComputations1to4                                       , 64.14   
SolidJS                , createComputations1to8                                       , 66.93   
SolidJS                , createComputations1to1000                                    , 59.95   
SolidJS                , updateComputations1to1                                       , 114.89  
SolidJS                , updateComputations2to1                                       , 83.62   
SolidJS                , updateComputations4to1                                       , 71.14   
SolidJS                , updateComputations1000to1                                    , 82.18   
SolidJS                , updateComputations1to2                                       , 102.63  
SolidJS                , updateComputations1to4                                       , 101.18  
SolidJS                , updateComputations1to1000                                    , 95.68   
SolidJS                , 10x5 - 2 sources - read 20% (simple component)               , 1957.46 
SolidJS                , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 713.05  
SolidJS                , 1000x12 - 4 sources - dynamic (large web app)                , 1134.30 
SolidJS                , 1000x5 - 25 sources (wide dense)                             , 1444.72 
SolidJS                , 5x500 - 3 sources (deep)                                     , 582.79  
uSignal                , avoidablePropagation                                         , 1101.10 
uSignal                , broadPropagation                                             , 992.35  
uSignal                , deepPropagation                                              , 328.83  
uSignal                , diamond                                                      , 724.07  
uSignal                , mux                                                          , 869.29  
uSignal                , repeatedObservers                                            , 119.27  
uSignal                , triangle                                                     , 223.50  
uSignal                , unstable                                                     , 126.15  
uSignal                , molBench                                                     , 809.11  
uSignal                , createDataSignals                                            , 70.06   
uSignal                , createComputations0to1                                       , 52.90   
uSignal                , createComputations1to1                                       , 72.42   
uSignal                , createComputations2to1                                       , 73.46   
uSignal                , createComputations4to1                                       , 55.68   
uSignal                , createComputations1000to1                                    , 43.46   
uSignal                , createComputations1to2                                       , 70.08   
uSignal                , createComputations1to4                                       , 69.23   
uSignal                , createComputations1to8                                       , 59.13   
uSignal                , createComputations1to1000                                    , 58.28   
uSignal                , updateComputations1to1                                       , 45.20   
uSignal                , updateComputations2to1                                       , 44.02   
uSignal                , updateComputations4to1                                       , 41.04   
uSignal                , updateComputations1000to1                                    , 42.73   
uSignal                , updateComputations1to2                                       , 43.80   
uSignal                , updateComputations1to4                                       , 42.44   
uSignal                , updateComputations1to1000                                    , 41.68   
uSignal                , 10x5 - 2 sources - read 20% (simple component)               , 497.66  
uSignal                , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 538.38  
uSignal                , 1000x12 - 4 sources - dynamic (large web app)                , 659.97  
uSignal                , 1000x5 - 25 sources (wide dense)                             , 1471.22 
uSignal                , 5x500 - 3 sources (deep)                                     , 464.20  
@vue/reactivity        , avoidablePropagation                                         , 651.23  
@vue/reactivity        , broadPropagation                                             , 591.07  
@vue/reactivity        , deepPropagation                                              , 202.86  
@vue/reactivity        , diamond                                                      , 491.64  
@vue/reactivity        , mux                                                          , 504.92  
@vue/reactivity        , repeatedObservers                                            , 77.24   
@vue/reactivity        , triangle                                                     , 148.67  
@vue/reactivity        , unstable                                                     , 108.10  
@vue/reactivity        , molBench                                                     , 1254.60 
@vue/reactivity        , createDataSignals                                            , 72.79   
@vue/reactivity        , createComputations0to1                                       , 52.06   
@vue/reactivity        , createComputations1to1                                       , 68.83   
@vue/reactivity        , createComputations2to1                                       , 65.62   
@vue/reactivity        , createComputations4to1                                       , 52.61   
@vue/reactivity        , createComputations1000to1                                    , 52.33   
@vue/reactivity        , createComputations1to2                                       , 54.68   
@vue/reactivity        , createComputations1to4                                       , 53.53   
@vue/reactivity        , createComputations1to8                                       , 57.19   
@vue/reactivity        , createComputations1to1000                                    , 65.29   
@vue/reactivity        , updateComputations1to1                                       , 49.52   
@vue/reactivity        , updateComputations2to1                                       , 51.06   
@vue/reactivity        , updateComputations4to1                                       , 47.63   
@vue/reactivity        , updateComputations1000to1                                    , 45.28   
@vue/reactivity        , updateComputations1to2                                       , 52.97   
@vue/reactivity        , updateComputations1to4                                       , 49.92   
@vue/reactivity        , updateComputations1to1000                                    , 41.26   
@vue/reactivity        , 10x5 - 2 sources - read 20% (simple component)               , 467.60  
@vue/reactivity        , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 354.79  
@vue/reactivity        , 1000x12 - 4 sources - dynamic (large web app)                , 4069.92 
@vue/reactivity        , 1000x5 - 25 sources (wide dense)                             , 5629.44 
@vue/reactivity        , 5x500 - 3 sources (deep)                                     , 303.31  
MobX                   , avoidablePropagation                                         , 1287.62 
MobX                   , broadPropagation                                             , 2581.57 
MobX                   , deepPropagation                                              , 828.96  
MobX                   , diamond                                                      , 1490.87 
MobX                   , mux                                                          , 997.62  
MobX                   , repeatedObservers                                            , 156.80  
MobX                   , triangle                                                     , 488.91  
MobX                   , unstable                                                     , 292.44  
MobX                   , molBench                                                     , 638.85  
MobX                   , createDataSignals                                            , 50.70   
MobX                   , createComputations0to1                                       , 61.48   
MobX                   , createComputations1to1                                       , 67.84   
MobX                   , createComputations2to1                                       , 59.06   
MobX                   , createComputations4to1                                       , 54.15   
MobX                   , createComputations1000to1                                    , 46.69   
MobX                   , createComputations1to2                                       , 64.57   
MobX                   , createComputations1to4                                       , 66.31   
MobX                   , createComputations1to8                                       , 62.96   
MobX                   , createComputations1to1000                                    , 65.17   
MobX                   , updateComputations1to1                                       , 57.46   
MobX                   , updateComputations2to1                                       , 51.64   
MobX                   , updateComputations4to1                                       , 50.15   
MobX                   , updateComputations1000to1                                    , 44.99   
MobX                   , updateComputations1to2                                       , 49.82   
MobX                   , updateComputations1to4                                       , 48.33   
MobX                   , updateComputations1to1000                                    , 48.38   
MobX                   , 10x5 - 2 sources - read 20% (simple component)               , 1105.78 
MobX                   , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 919.33  
MobX                   , 1000x12 - 4 sources - dynamic (large web app)                , 1367.18 
MobX                   , 1000x5 - 25 sources (wide dense)                             , 1997.23 
MobX                   , 5x500 - 3 sources (deep)                                     , 781.75  
