framework              , test                                                         , time    
@solidjs/signals       , 40x10 - 4 sources - dynamic - read 60% (entity detail page)  , 1747.48 
@solidjs/signals       , 10x5 - 2 sources - read 20% (simple component)               , 2599.29 
@solidjs/signals       , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 708.60  
@solidjs/signals       , 1000x12 - 4 sources - dynamic (large web app)                , 889.27  
@solidjs/signals       , 1000x5 - 25 sources (wide dense)                             , 1181.30 
@solidjs/signals       , 5x500 - 3 sources (deep)                                     , 544.66  
SolidJS                , avoidablePropagation                                         , 743.31  
SolidJS                , broadPropagation                                             , 875.62  
SolidJS                , deepPropagation                                              , 324.72  
SolidJS                , diamond                                                      , 749.57  
SolidJS                , mux                                                          , 526.47  
SolidJS                , repeatedObservers                                            , 182.84  
SolidJS                , triangle                                                     , 257.92  
SolidJS                , unstable                                                     , 222.82  
SolidJS                , molBench                                                     , 702.39  
SolidJS                , createDataSignals                                            , 61.18   
SolidJS                , createComputations0to1                                       , 64.87   
SolidJS                , createComputations1to1                                       , 88.53   
SolidJS                , createComputations2to1                                       , 74.19   
SolidJS                , createComputations4to1                                       , 182.10  
SolidJS                , createComputations1000to1                                    , 59.03   
SolidJS                , createComputations1to2                                       , 90.04   
SolidJS                , createComputations1to4                                       , 66.35   
SolidJS                , createComputations1to8                                       , 74.57   
SolidJS                , createComputations1to1000                                    , 67.12   
SolidJS                , updateComputations1to1                                       , 128.29  
SolidJS                , updateComputations2to1                                       , 87.60   
SolidJS                , updateComputations4to1                                       , 82.54   
SolidJS                , updateComputations1000to1                                    , 82.95   
SolidJS                , updateComputations1to2                                       , 104.46  
SolidJS                , updateComputations1to4                                       , 105.37  
SolidJS                , updateComputations1to1000                                    , 100.46  
SolidJS                , 64x6 - 4 sources - dynamic - read 12% (dashboard selective r , 2502.32 
SolidJS                , 24x8 - 3 sources - dynamic - read 40% (editor derived state) , 1865.07 
SolidJS                , 120x7 - 5 sources - dynamic - read 18% (kanban board)        , 1325.42 
SolidJS                , 40x10 - 4 sources - dynamic - read 60% (entity detail page)  , 2041.49 
SolidJS                , 10x5 - 2 sources - read 20% (simple component)               , 2243.47 
