framework              , test                                                         , time    
@amadeus-it-group/tans , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 385.97  
@amadeus-it-group/tans , 1000x12 - 4 sources - dynamic (large web app)                , 746.44  
@amadeus-it-group/tans , 1000x5 - 25 sources (wide dense)                             , 953.71  
@amadeus-it-group/tans , 5x500 - 3 sources (deep)                                     , 448.94  
@angular/signals       , avoidablePropagation                                         , 681.17  
@angular/signals       , broadPropagation                                             , 717.51  
@angular/signals       , deepPropagation                                              , 235.03  
@angular/signals       , diamond                                                      , 657.34  
@angular/signals       , mux                                                          , 640.31  
@angular/signals       , repeatedObservers                                            , 122.00  
@angular/signals       , triangle                                                     , 212.40  
@angular/signals       , unstable                                                     , 213.33  
@angular/signals       , molBench                                                     , 603.84  
@angular/signals       , createDataSignals                                            , 91.47   
@angular/signals       , createComputations0to1                                       , 88.45   
@angular/signals       , createComputations1to1                                       , 97.11   
@angular/signals       , createComputations2to1                                       , 85.64   
@angular/signals       , createComputations4to1                                       , 82.93   
@angular/signals       , createComputations1000to1                                    , 79.44   
@angular/signals       , createComputations1to2                                       , 85.44   
@angular/signals       , createComputations1to4                                       , 90.71   
@angular/signals       , createComputations1to8                                       , 91.91   
@angular/signals       , createComputations1to1000                                    , 87.66   
@angular/signals       , updateComputations1to1                                       , 80.84   
@angular/signals       , updateComputations2to1                                       , 76.62   
@angular/signals       , updateComputations4to1                                       , 79.95   
@angular/signals       , updateComputations1000to1                                    , 82.22   
@angular/signals       , updateComputations1to2                                       , 76.88   
@angular/signals       , updateComputations1to4                                       , 94.17   
@angular/signals       , updateComputations1to1000                                    , 70.03   
@angular/signals       , 200x6 - 2 sources (diamond shared deps)                      , 1222.91 
@angular/signals       , 5000x2 - 1 sources (broad fan-out)                           , 3420.87 
@angular/signals       , 1x2 - 5000 sources (many sources one sink)                   , 383.76  
@angular/signals       , 200x20 - 8 sources - dynamic - read 50% (conditional churn)  , 13717.29
@angular/signals       , 300x10 - 4 sources (stable after recompute)                  , 9193.15 
@angular/signals       , 500x8 - 4 sources (hot reads stable graph)                   , 122408.9
@angular/signals       , 3000x6 - 2 sources - read 2% (broad invalidation sparse read , 1046.66 
@angular/signals       , 1x3 - 2 sources (many observers)                             , 199.31  
@angular/signals       , 5x300 - 3 sources - dynamic (deep dynamic)                   , 542.15  
@angular/signals       , 10000x2 - 2 sources (ultra wide shallow)                     , 3291.15 
@angular/signals       , 10x5 - 2 sources - read 20% (simple component)               , 1290.76 
@angular/signals       , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 629.75  
@angular/signals       , 1000x12 - 4 sources - dynamic (large web app)                , 12885.42
@angular/signals       , 1000x5 - 25 sources (wide dense)                             , 10971.64
@angular/signals       , 5x500 - 3 sources (deep)                                     , 436.34  
$mol_wire              , avoidablePropagation                                         , 620.66  
$mol_wire              , broadPropagation                                             , 975.49  
$mol_wire              , deepPropagation                                              , 261.87  
$mol_wire              , diamond                                                      , 596.81  
$mol_wire              , mux                                                          , 700.05  
$mol_wire              , repeatedObservers                                            , 161.42  
$mol_wire              , triangle                                                     , 194.32  
$mol_wire              , unstable                                                     , 243.35  
$mol_wire              , molBench                                                     , 440.14  
$mol_wire              , createDataSignals                                            , 85.46   
$mol_wire              , createComputations0to1                                       , 92.69   
$mol_wire              , createComputations1to1                                       , 106.12  
$mol_wire              , createComputations2to1                                       , 105.48  
$mol_wire              , createComputations4to1                                       , 79.65   
$mol_wire              , createComputations1000to1                                    , 91.65   
$mol_wire              , createComputations1to2                                       , 103.62  
$mol_wire              , createComputations1to4                                       , 94.28   
$mol_wire              , createComputations1to8                                       , 97.80   
$mol_wire              , createComputations1to1000                                    , 102.10  
$mol_wire              , updateComputations1to1                                       , 83.09   
$mol_wire              , updateComputations2to1                                       , 78.81   
$mol_wire              , updateComputations4to1                                       , 73.57   
$mol_wire              , updateComputations1000to1                                    , 74.75   
$mol_wire              , updateComputations1to2                                       , 79.36   
$mol_wire              , updateComputations1to4                                       , 74.81   
$mol_wire              , updateComputations1to1000                                    , 74.47   
$mol_wire              , 200x6 - 2 sources (diamond shared deps)                      , 138.65  
$mol_wire              , 5000x2 - 1 sources (broad fan-out)                           , 472.30  
$mol_wire              , 1x2 - 5000 sources (many sources one sink)                   , 518.79  
$mol_wire              , 200x20 - 8 sources - dynamic - read 50% (conditional churn)  , 5968.03 
$mol_wire              , 300x10 - 4 sources (stable after recompute)                  , 872.27  
$mol_wire              , 500x8 - 4 sources (hot reads stable graph)                   , 6378.46 
$mol_wire              , 3000x6 - 2 sources - read 2% (broad invalidation sparse read , 121.90  
$mol_wire              , 1x3 - 2 sources (many observers)                             , 80.08   
$mol_wire              , 5x300 - 3 sources - dynamic (deep dynamic)                   , 489.15  
$mol_wire              , 10000x2 - 2 sources (ultra wide shallow)                     , 569.18  
